floor,exterior,hasLift,hasParkingSpace,Price_Category,size,rooms,bathrooms,latitude,longitude,Primary,Tertiary,Upper_Secondary_or_Post_Secondary,Distribucio_P80_20,American_population,Asian_population,European_population,Oceanian_population,price,propertyType_duplex,propertyType_flat,propertyType_occupied flat,propertyType_penthouse,propertyType_studio,district_Eixample,district_Gràcia,district_Horta Guinardó,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Martí,district_Sants-Montjuïc,district_Sarrià-Sant Gervasi,status_newdevelopment,status_renew
5,True,True,False,0,0.22535211267605634,0.5,0.0,-0.4814420053497445,-0.9128221696709015,-0.4449285659038926,-0.20744047619047618,-0.7752849755190953,-0.24063380922069694,0.0,0.31758241758241756,0.7082271762208068,0.0,-0.07407407407407407,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,True,False,False,0,-0.647887323943662,-0.5,-1.0,-0.2739689085714235,0.5430983033506692,0.2858952741898058,0.339931439972831,-0.042192252899500036,0.744418058071781,-0.08501006036217304,0.36043956043956044,-0.5767515923566879,3.6,-0.4722222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,False,True,False,0,-0.29577464788732394,-0.5,-1.0,0.8568322992762869,0.771397331251224,0.33044725036739125,-0.7786975717439294,0.2850864399281133,-0.6322406110757484,-0.03319919517102616,-0.03626373626373627,-0.1178343949044586,0.0,-0.37037037037037035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,False,True,False,0,-0.29577464788732394,0.0,0.0,-0.6509919244475626,-0.5088272732303922,-0.34914562224456647,0.06312258554083905,-0.3656813269857258,0.0,1.1765593561368208,1.3395604395604395,1.1418789808917198,1.0,-0.2962962962962963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,True,True,False,0,-0.5070422535211268,-0.5,-1.0,0.32601054481535485,0.8026798174565105,0.24766498478113497,-0.5093267108167768,0.44593611741968975,-0.582834088441233,-0.4844064386317907,-0.4087912087912088,-0.24049893842887474,0.0,-0.08703703703703704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,True,True,False,0,-0.49295774647887325,-0.5,-1.0,-0.9124292334283846,-0.19460237258675286,0.7038679518910976,-0.4753690673289184,-0.14156447767365363,0.09537449607468637,0.4396378269617706,2.9318681318681317,0.11953290870488323,1.4,-0.18518518518518517,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,True,False,False,0,-0.22535211267605634,0.0,-1.0,0.8460710105632454,1.2025733187944656,0.6104165914696503,-1.0387716151582047,-0.23436000960561212,-0.9942534832732164,-0.5040241448692153,0.11868131868131868,-0.270859872611465,0.0,-0.4444444444444444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,False,True,False,0,-0.5492957746478874,-0.5,-1.0,-0.1753965312916521,-0.982794183856765,-0.7982478431151957,0.33075456552277743,-0.5592865504255842,0.6540564782130659,-1.1111670020120725,-0.9010989010989011,-0.6816348195329087,0.0,-0.25925925925925924,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,True,True,False,2,1.1830985915492958,1.0,0.0,0.02781314322805209,0.012705051058042873,-0.5548503364529352,0.5804483519829491,-0.5905855541162061,0.5985041374920428,0.5176056338028169,0.5648351648351648,0.5342887473460722,2.2,2.0833333333333335,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,True,True,False,0,0.7605633802816901,-0.5,2.0,-0.5415628634643824,0.5816292799523798,0.2858952741898058,0.339931439972831,-0.042192252899500036,0.744418058071781,-0.08501006036217304,0.36043956043956044,-0.5767515923566879,3.6,0.037037037037037035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
