propertyCode,floor,propertyType,size,exterior,rooms,bathrooms,district,latitude,longitude,status,hasLift,hasParkingSpace,Less_than_Primary,Lower_Secondary,Primary,Tertiary,Upper_Secondary_or_Post_Secondary,Distribucio_P80_20,African_population,American_population,Asian_population,European_population,Oceanian_population,Population_20_44,Population_45_69,Population_less_than_19,Population_greater_than_70,price,Price_Category
104560149,4,flat,83.0,True,3,2,Eixample,41.3851851,2.1458842,good,True,False,3.6933333333333334,105.7375,56.7125,305.2375,163.1125,2.9274999999999998,457.0,5103.0,2349.0,49611.0,5.0,21669,17730,7785,10341,498000.0,Low
104234781,1,studio,160.0,False,1,1,Sarrià-Sant Gervasi,41.4099723,2.1423438,good,False,False,1.3214285714285714,87.07894736842105,33.68421052631579,366.2894736842105,177.02631578947367,2.9473684210526314,202.0,1763.0,671.0,27307.0,0.0,10140,9455,5485,4863,429900.0,Low
103815656,2,flat,113.0,True,3,2,Eixample,41.390637,2.1584099,good,True,False,3.6444444444444444,103.46153846153847,50.01923076923077,389.5769230769231,184.59615384615384,3.226923076923077,395.0,4421.0,1735.0,36115.0,5.0,17480,12925,5499,6767,588000.0,Low
104738878,3,flat,102.0,True,2,3,Eixample,41.3924778,2.1516721,good,True,False,3.6444444444444444,103.46153846153847,50.01923076923077,389.5769230769231,184.59615384615384,3.226923076923077,395.0,4421.0,1735.0,36115.0,5.0,17480,12925,5499,6767,840000.0,Medium
103886862,2,flat,80.0,True,3,1,Sant Martí,41.4169099,2.2158352,good,True,False,22.03846153846154,301.84615384615387,245.92307692307693,133.65384615384616,192.8846153846154,2.6692307692307695,1431.0,2948.0,4411.0,19063.0,0.0,10935,8662,5287,2969,170000.0,Low
98268685,1,flat,492.0,True,6,4,Sarrià-Sant Gervasi,41.406708,2.1312309,good,True,True,1.4074074074074074,77.27777777777777,29.22222222222222,325.27777777777777,162.52777777777777,3.2777777777777777,148.0,1381.0,573.0,23939.0,0.0,7816,8251,5512,4462,4500000.0,Very High
103800524,entreplanta,flat,113.0,True,4,2,Eixample,41.3893122,2.1486192,renew,True,False,3.6444444444444444,103.46153846153847,50.01923076923077,389.5769230769231,184.59615384615384,3.226923076923077,395.0,4421.0,1735.0,36115.0,5.0,17480,12925,5499,6767,498000.0,Low
103279450,1,penthouse,57.0,True,1,1,Sarrià-Sant Gervasi,41.3987408,2.1471042,good,True,False,0.85,73.74193548387096,28.516129032258064,366.0,172.8548387096774,3.403225806451613,183.0,2456.0,1035.0,43914.0,0.0,14818,15428,9169,8173,425000.0,Low
104677899,bajo,flat,55.0,True,3,1,Nou Barris,41.4415884,2.1834588,good,True,False,19.15,190.275,140.025,85.0,139.025,2.535,288.0,2756.0,1130.0,22440.0,0.0,8339,8813,4339,5123,153000.0,Low
104635913,2,flat,59.0,False,3,1,Sants-Montjuïc,41.3748198,2.1305443,good,False,False,11.53125,159.03125,118.03125,203.6875,174.9375,2.7875,243.0,2651.0,1126.0,20283.0,0.0,8735,7929,3494,4145,175000.0,Low
104622100,6,flat,106.0,True,4,2,Eixample,41.3823598,2.1504035,renew,True,False,3.6933333333333334,105.7375,56.7125,305.2375,163.1125,2.9274999999999998,457.0,5103.0,2349.0,49611.0,5.0,21669,17730,7785,10341,430000.0,Low
104741719,2,penthouse,90.0,True,2,2,Eixample,41.4008188,2.1645806,good,True,False,2.1914893617021276,84.46551724137932,42.60344827586207,378.7586206896552,157.1206896551724,3.2517241379310344,419.0,3793.0,1644.0,38164.0,11.0,17237,13602,6335,6857,445000.0,Low
103783319,2,flat,170.0,True,4,2,Les Corts,41.3905799,2.1382554,good,True,False,3.9206349206349205,93.38571428571429,50.142857142857146,266.7857142857143,152.2,2.797142857142857,288.0,2764.0,1419.0,41441.0,0.0,14296,14814,7267,9535,995500.0,Medium
100098994,6,flat,80.0,True,2,2,Eixample,41.3842803,2.1620313,good,True,False,7.130434782608695,137.58333333333334,82.6875,299.9375,177.27083333333334,3.0416666666666665,354.0,3051.0,2653.0,32133.0,0.0,14892,11925,5057,6317,525000.0,Low
104613237,entreplanta,flat,84.0,True,4,1,Sant Martí,41.4136274,2.1941248,good,True,False,6.823529411764706,161.91176470588235,97.6470588235294,223.88235294117646,184.73529411764707,2.611764705882353,295.0,1801.0,758.0,23567.0,0.0,9018,9223,3993,4187,275000.0,Low
