Price_Category,latitude,longitude
Medium,41.3923931,2.1259607
Medium,41.3904834,2.1651712
High,41.3779927,2.1577171
Medium,41.3825759,2.162291
High,41.4081992,2.1178888
Low,41.3827271,2.1458939
High,41.3825128,2.1751289
Very High,41.3968685,2.1585909
Medium,41.4069634,2.1578271
Very High,41.3959434,2.1386593
Very High,41.3979448,2.1378893
Low,41.3766316,2.1549103
Low,41.4030578,2.1675622
High,41.3991334,2.1287797
High,41.3892011,2.1148967
High,41.3991208,2.1547535
Medium,41.3816062,2.1597622
High,41.3908638,2.120057
Medium,41.3999075,2.1431862
Medium,41.4009565,2.1722307
Very High,41.3936932,2.1122719
High,41.3963006,2.1386691
High,41.4108549,2.1269939
Medium,41.3794757,2.1558188
Medium,41.3983345,2.160608
Very High,41.3942457,2.1777881
High,41.3961917,2.1667368
Medium,41.3995052,2.1613667
High,41.3894167,2.1714228
Medium,41.3803595,2.1731329
High,41.3951662,2.1416676
Medium,41.3962659,2.1687461
Medium,41.3888842,2.1571414
High,41.3972087,2.1385589
Medium,41.3942496,2.1662615
High,41.3941144,2.1400513
Very High,41.394601,2.1368155
Very High,41.3952921,2.140167
High,41.3943123,2.1658216
Very High,41.3959708,2.1111169
Very High,41.3892731,2.1681451
High,41.388711,2.1184279
Medium,41.383678,2.1449505
High,41.3964968,2.1562804
Very High,41.3922078,2.114324
Medium,41.3985225,2.1522562
Low,41.3736515,2.1667903
High,41.3941845,2.1270449
Medium,41.3977266,2.1311907
Medium,41.3964367,2.1507239
Medium,41.3867143,2.1512402
Medium,41.3828215,2.1760892
Medium,41.4172648,2.1404394
Medium,41.4104391,2.1384061
High,41.4067925,2.1365167
Medium,41.404616,2.1452402
Medium,41.3862229,2.1323304
Medium,41.3971678,2.1590141
Medium,41.394767,2.1533306
High,41.3977415,2.1670614
High,41.3800048,2.1746077
Medium,41.4100088,2.1570751
High,41.3930283,2.1369829
Medium,41.4070076,2.1496671
High,41.3921279,2.1742587
Medium,41.407083,2.1328044
High,41.388097,2.1750355
Medium,41.3844637,2.1533056
Medium,41.3960136,2.173781
Medium,41.4006932,2.1681464
Medium,41.3913489,2.1261007
Medium,41.4171631,2.1368854
Medium,41.3922021,2.1434266
Medium,41.3820142,2.1713592
Medium,41.3941856,2.1658264
Low,41.3940651,2.1743668
High,41.3894864,2.1393651
Medium,41.389961,2.1420678
High,41.407026,2.132884
Low,41.3863801,2.1774525
Medium,41.3907731,2.1668451
Very High,41.3924731,2.1675451
Low,41.4073613,2.1608932
Medium,41.4098203,2.1577831
Medium,41.3893745,2.1418014
High,41.3919731,2.1693451
Medium,41.3960777,2.1284085
High,41.3935639,2.1119285
Medium,41.4013465,2.1441924
Medium,41.3909444,2.1282734
High,41.3983997,2.1338036
Very High,41.3966945,2.1626473
Very High,41.3876926,2.1117584
Very High,41.3953862,2.1388987
Low,41.3772768,2.1494323
High,41.3843693,2.1714248
Medium,41.3821322,2.177466
High,41.4004756,2.1240945
Medium,41.4019281,2.1438201
High,41.3890098,2.1227325
Low,41.4007519,2.1575755
Medium,41.3815501,2.1515629
Medium,41.3916202,2.1143162
High,41.3975306,2.1666144
High,41.3967614,2.1337978
Low,41.4084686,2.1561282
Medium,41.3758975,2.1262848
Medium,41.3903498,2.127921
Low,41.3965449,2.1695077
Very High,41.4069887,2.1150389
High,41.4065245,2.1560882
High,41.3965543,2.1345707
High,41.3993441,2.1311599
Low,41.3913519,2.1476528
Medium,41.3832547,2.1731498
Low,41.4130338,2.1648319
Low,41.399675,2.1517746
High,41.3871768,2.1693391
Medium,41.3996739,2.12753
Medium,41.378496,2.1726932
Medium,41.3955371,2.154853
Medium,41.3911607,2.1137072
Low,41.3737802,2.1539905
High,41.3923627,2.1387484
High,41.3957575,2.1317224
Low,41.3922219,2.1540335
High,41.3895881,2.1128782
Low,41.4116371,2.146311
Medium,41.4023661,2.1408748
Low,41.4003886,2.1598361
High,41.3864219,2.1102694
Medium,41.3895023,2.1324422
Medium,41.4046068,2.1433675
High,41.3943514,2.1661187
Low,41.4152809,2.1405278
Medium,41.3888537,2.1536572
Medium,41.3942723,2.1689986
Medium,41.3865225,2.1260488
Medium,41.4131521,2.1458004
High,41.3958869,2.1395484
High,41.3988234,2.1309157
